setting,config_id,display_name,groups,model_type,patch_size,patch_embedding,train_mode,test_mode,test_loss,test_accuracy,best_val_accuracy,best_epoch,train_elapsed_seconds,parameter_count
1,mlp,MLP,model,mlp,,,A,A,0.7909593112945557,0.7189,0.7243333333333334,15,49.74772381782532,542474
2,mlp,MLP,model,mlp,,,B,B,0.29700557799339294,0.8957,0.8985,14,55.857752084732056,542474
3,mlp,MLP,model,mlp,,,A,B,0.7581428333759308,0.7197,0.7243333333333334,15,49.74772381782532,542474
4,mlp,MLP,model,mlp,,,B,A,7.12737947845459,0.1399,0.8985,14,55.857752084732056,542474
1,cnn,CNN,model,cnn,,,A,A,0.2286026886343956,0.9235,0.9273333333333333,15,145.27036905288696,205994
2,cnn,CNN,model,cnn,,,B,B,0.2199230162382126,0.9314,0.9395,14,131.91859579086304,205994
3,cnn,CNN,model,cnn,,,A,B,0.2117426355957985,0.9287,0.9273333333333333,15,145.27036905288696,205994
4,cnn,CNN,model,cnn,,,B,A,6.637457681274414,0.354,0.9395,14,131.91859579086304,205994
1,vit_p16_conv,ViT (patch 16),patch_size;patch_embedding,vit,16,conv,A,A,0.546273096370697,0.8007,0.8035,15,194.83358430862427,829834
2,vit_p16_conv,ViT (patch 16),patch_size;patch_embedding,vit,16,conv,B,B,0.317426302075386,0.8887,0.8938333333333334,15,192.90257120132446,829834
3,vit_p16_conv,ViT (patch 16),patch_size;patch_embedding,vit,16,conv,A,B,0.526953069639206,0.8097,0.8035,15,194.83358430862427,829834
4,vit_p16_conv,ViT (patch 16),patch_size;patch_embedding,vit,16,conv,B,A,6.3500359245300295,0.1691,0.8938333333333334,15,192.90257120132446,829834
1,vit_p8_conv,ViT (patch 8),model;patch_size,vit,8,conv,A,A,0.538625519323349,0.804,0.8081666666666667,15,218.80592846870422,811402
2,vit_p8_conv,ViT (patch 8),model;patch_size,vit,8,conv,B,B,0.3269242003440857,0.8827,0.8916666666666667,15,222.54428243637085,811402
3,vit_p8_conv,ViT (patch 8),model;patch_size,vit,8,conv,A,B,0.5362704849720001,0.8113,0.8081666666666667,15,218.80592846870422,811402
4,vit_p8_conv,ViT (patch 8),model;patch_size,vit,8,conv,B,A,5.6189202758789065,0.1881,0.8916666666666667,15,222.54428243637085,811402
1,vit_p4_conv,ViT (patch 4),patch_size,vit,4,conv,A,A,0.6770105924606323,0.7528,0.7585,15,273.48058915138245,829834
2,vit_p4_conv,ViT (patch 4),patch_size,vit,4,conv,B,B,0.35370383828878404,0.8722,0.8738333333333334,15,262.58418345451355,829834
3,vit_p4_conv,ViT (patch 4),patch_size,vit,4,conv,A,B,0.6962828569412232,0.7497,0.7585,15,273.48058915138245,829834
4,vit_p4_conv,ViT (patch 4),patch_size,vit,4,conv,B,A,5.404407411193848,0.1702,0.8738333333333334,15,262.58418345451355,829834
1,vit_p16_linear,ViT (Flatten+Linear),patch_embedding,vit,16,linear,A,A,0.5443141609191895,0.7967,0.8018333333333333,15,218.8119776248932,829834
2,vit_p16_linear,ViT (Flatten+Linear),patch_embedding,vit,16,linear,B,B,0.3154871048212051,0.888,0.8908333333333334,14,216.0658721923828,829834
3,vit_p16_linear,ViT (Flatten+Linear),patch_embedding,vit,16,linear,A,B,0.5223648404121399,0.8048,0.8018333333333333,15,218.8119776248932,829834
4,vit_p16_linear,ViT (Flatten+Linear),patch_embedding,vit,16,linear,B,A,6.391924957275391,0.163,0.8908333333333334,14,216.0658721923828,829834
